Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
86,2018/07/04,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807040.shtml),LAD,,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,6,4,,47-39,2,0.5,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Holmes (https://www.baseball-reference.com/players/h/holmecl01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:23,N,"53,139",1.48,++++,
87,2018/07/06,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201807060.shtml),LAD,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L-wo,2,3,,47-40,2,1,Parker (https://www.baseball-reference.com/players/p/parkebl01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),,3:12,N,"44,323",1.52,-,
88,2018/07/07,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201807070.shtml),LAD,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),W,3,1,,48-40,2,1,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Cole (https://www.baseball-reference.com/players/c/coleta01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:18,D,"44,409",1.44,+,
89,2018/07/08,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201807080.shtml),LAD,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,3,4,,48-41,2,1,Heaney (https://www.baseball-reference.com/players/h/heanean01.shtml),Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Anderson (https://www.baseball-reference.com/players/a/anderju01.shtml),2:39,N,"42,213",1.48,-,
90,2018/07/09,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807090.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,8,2,,49-41,2,0.5,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Perdomo (https://www.baseball-reference.com/players/p/perdolu02.shtml),,2:50,N,"28,110",1.52,+,
91,2018/07/10,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807100.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,1,4,,49-42,2,1.5,Lauer (https://www.baseball-reference.com/players/l/lauerer01.shtml),Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),,2:18,N,"26,272",1.55,-,
92,2018/07/11,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807110.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,4,2,,50-42,2,0.5,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:18,N,"26,448",1.5,+,
93,2018/07/12,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807120.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,3,2,,51-42,1,up 0.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Ross (https://www.baseball-reference.com/players/r/rossty01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:14,N,"29,595",1.57,++,
94,2018/07/13,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807130.shtml),LAD,,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),W,3,2,,52-42,1,up 0.5,Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),Bedrosian (https://www.baseball-reference.com/players/b/bedroca01.shtml),Alexander (https://www.baseball-reference.com/players/a/alexasc02.shtml),3:13,N,"53,368",1.61,+++,
95,2018/07/14,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807140.shtml),LAD,,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,4,5,10,52-43,2,0.5,Álvarez (https://www.baseball-reference.com/players/a/alvarjo02.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),,3:47,D,"53,797",1.63,-,
96,2018/07/15,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807150.shtml),LAD,,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),W,5,3,,53-43,1,up 0.5,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Cole (https://www.baseball-reference.com/players/c/coleta01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:10,D,"47,871",1.59,+,
97,2018/07/20,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201807200.shtml),LAD,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,6,4,,54-43,1,up 1.5,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Williams (https://www.baseball-reference.com/players/w/willita01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:07,N,"36,812",1.76,++,
98,2018/07/21,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201807210.shtml),LAD,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,2,4,,54-44,1,up 1.0,Burnes (https://www.baseball-reference.com/players/b/burneco01.shtml),Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Knebel (https://www.baseball-reference.com/players/k/knebeco01.shtml),3:15,N,"36,242",1.74,-,
99,2018/07/22,boxscore (https://www.baseball-reference.com/boxes/MIL/MIL201807220.shtml),LAD,@,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,11,2,,55-44,1,up 1.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Suter (https://www.baseball-reference.com/players/s/suterbr01.shtml),Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),2:59,D,"38,249",1.75,+,
100,2018/07/23,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201807230.shtml),LAD,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,7,6,,56-44,1,up 1.5,Alexander (https://www.baseball-reference.com/players/a/alexasc02.shtml),Domínguez (https://www.baseball-reference.com/players/d/dominse01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:43,N,"33,753",1.74,++,
101,2018/07/24,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201807240.shtml),LAD,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L-wo,4,7,16,56-45,1,up 0.5,Velasquez (https://www.baseball-reference.com/players/v/velasvi01.shtml),Hernández (https://www.baseball-reference.com/players/h/hernaen02.shtml),,5:55,N,"35,028",1.81,-,
102,2018/07/25,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI201807250.shtml),LAD,@,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,3,7,,56-46,1,up 0.5,Arrieta (https://www.baseball-reference.com/players/a/arrieja01.shtml),Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Domínguez (https://www.baseball-reference.com/players/d/dominse01.shtml),2:58,D,"35,659",1.78,--,
103,2018/07/26,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807260.shtml),LAD,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,8,2,,57-46,1,up 1.5,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Sánchez (https://www.baseball-reference.com/players/s/sanchan01.shtml),,2:55,N,"40,706",1.81,+,
104,2018/07/27,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807270.shtml),LAD,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,4,1,,58-46,1,up 1.5,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Foltynewicz (https://www.baseball-reference.com/players/f/foltymi01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:51,N,"41,647",1.8,++,
105,2018/07/28,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807280.shtml),LAD,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,5,1,,59-46,1,up 1.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Fried (https://www.baseball-reference.com/players/f/friedma01.shtml),,3:22,N,"41,758",1.78,+++,
106,2018/07/29,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807290.shtml),LAD,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),L,1,4,,59-47,1,up 0.5,Newcomb (https://www.baseball-reference.com/players/n/newcose01.shtml),Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),,2:47,D,"40,303",1.8,-,
107,2018/07/30,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807300.shtml),LAD,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,2,5,,59-48,1,up 0.5,Hader (https://www.baseball-reference.com/players/h/haderjo01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),,3:44,N,"44,933",1.89,--,
108,2018/07/31,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807310.shtml),LAD,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,0,1,,59-49,2,0.5,Miley (https://www.baseball-reference.com/players/m/mileywa01.shtml),Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Jeffress (https://www.baseball-reference.com/players/j/jeffrje01.shtml),2:17,N,"44,818",1.89,---,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
109,2018/08/01,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808010.shtml),LAD,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W-wo,6,4,10,60-49,1,Tied,Floro (https://www.baseball-reference.com/players/f/florody01.shtml),Albers (https://www.baseball-reference.com/players/a/alberma01.shtml),,3:19,N,"41,686",1.83,+,
110,2018/08/02,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808020.shtml),LAD,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,21,5,,61-49,1,up 1.0,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Chacín (https://www.baseball-reference.com/players/c/chacijh01.shtml),,3:42,N,"45,087",1.88,++,
111,2018/08/03,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808030.shtml),LAD,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,1,2,,61-50,1,Tied,Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Rondón (https://www.baseball-reference.com/players/r/rondohe01.shtml),2:59,N,"53,598",1.83,-,
112,2018/08/04,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808040.shtml),LAD,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,0,14,,61-51,2,1,Peacock (https://www.baseball-reference.com/players/p/peacobr01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),,3:37,N,"53,119",1.85,--,
113,2018/08/05,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808050.shtml),LAD,,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),W,3,2,,62-51,1,Tied,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Cole (https://www.baseball-reference.com/players/c/colege01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:54,D,"50,628",1.79,+,
114,2018/08/07,boxscore (https://www.baseball-reference.com/boxes/OAK/OAK201808070.shtml),LAD,@,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),W,4,2,,63-51,1,up 0.5,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Manaea (https://www.baseball-reference.com/players/m/manaese01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:21,N,"33,654",1.82,++,
115,2018/08/08,boxscore (https://www.baseball-reference.com/boxes/OAK/OAK201808080.shtml),LAD,@,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,2,3,,63-52,2,0.5,Familia (https://www.baseball-reference.com/players/f/familje01.shtml),Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Treinen (https://www.baseball-reference.com/players/t/treinbl01.shtml),3:00,N,"32,062",1.84,-,
116,2018/08/09,boxscore (https://www.baseball-reference.com/boxes/COL/COL201808090.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,8,5,,64-52,1,Tied,Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),Alexander (https://www.baseball-reference.com/players/a/alexasc02.shtml),3:29,N,"43,076",2.24,+,
117,2018/08/10,boxscore (https://www.baseball-reference.com/boxes/COL/COL201808100.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,4,5,,64-53,1,Tied,McGee (https://www.baseball-reference.com/players/m/mcgeeja01.shtml),Rosscup (https://www.baseball-reference.com/players/r/rosscza01.shtml),Ottavino (https://www.baseball-reference.com/players/o/ottavad01.shtml),3:31,N,"42,184",2.25,-,
118,2018/08/11,boxscore (https://www.baseball-reference.com/boxes/COL/COL201808110.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L-wo,2,3,,64-54,1,Tied,Shaw (https://www.baseball-reference.com/players/s/shawbr01.shtml),Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),,2:54,N,"47,633",2.4,--,
119,2018/08/12,boxscore (https://www.baseball-reference.com/boxes/COL/COL201808120.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L-wo,3,4,,64-55,2,1,Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),Floro (https://www.baseball-reference.com/players/f/florody01.shtml),,2:48,D,"40,559",2.46,---,
120,2018/08/13,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808130.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,2,5,,64-56,2,1,Black (https://www.baseball-reference.com/players/b/blackra01.shtml),Alexander (https://www.baseball-reference.com/players/a/alexasc02.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),3:05,N,"45,229",1.96,----,
121,2018/08/14,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808140.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,1,2,,64-57,3,2,Dyson (https://www.baseball-reference.com/players/d/dysonsa01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),3:09,N,"46,734",1.9,-----,
122,2018/08/15,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808150.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W-wo,4,3,12,65-57,2,1.5,Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyca01.shtml),,4:05,N,"44,987",1.68,+,
123,2018/08/17,boxscore (https://www.baseball-reference.com/boxes/SEA/SEA201808170.shtml),LAD,@,SEA (https://www.baseball-reference.com/teams/SEA/2018.shtml),W,11,1,,66-57,3,2,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),LeBlanc (https://www.baseball-reference.com/players/l/leblawa01.shtml),,2:44,N,"46,796",1.69,++,
124,2018/08/18,boxscore (https://www.baseball-reference.com/boxes/SEA/SEA201808180.shtml),LAD,@,SEA (https://www.baseball-reference.com/teams/SEA/2018.shtml),L-wo,4,5,10,66-58,3,2,Warren (https://www.baseball-reference.com/players/w/warread01.shtml),Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),,3:36,N,"43,264",1.79,-,
125,2018/08/19,boxscore (https://www.baseball-reference.com/boxes/SEA/SEA201808190.shtml),LAD,@,SEA (https://www.baseball-reference.com/teams/SEA/2018.shtml),W,12,1,,67-58,3,2,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Elías (https://www.baseball-reference.com/players/e/eliasro01.shtml),,3:12,D,"45,419",1.72,+,
126,2018/08/20,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808200.shtml),LAD,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,3,5,,67-59,3,2.5,Cecil (https://www.baseball-reference.com/players/c/cecilbr01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),4:10,N,"42,402",1.88,-,
127,2018/08/21,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808210.shtml),LAD,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,2,5,,67-60,3,3.5,Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),Ryu (https://www.baseball-reference.com/players/r/ryuhy01.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),3:25,N,"43,923",1.72,--,
128,2018/08/22,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808220.shtml),LAD,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,1,3,,67-61,3,4.5,Hudson (https://www.baseball-reference.com/players/h/hudsoda02.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),Hicks (https://www.baseball-reference.com/players/h/hicksjo03.shtml),3:02,N,"48,247",1.54,---,
129,2018/08/24,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808240.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,11,1,,68-61,3,3.5,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Richard (https://www.baseball-reference.com/players/r/richacl01.shtml),,2:48,N,"47,559",1.06,+,
130,2018/08/25,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808250.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W-wo,5,4,12,69-61,3,2.5,Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),Stock (https://www.baseball-reference.com/players/s/stockro01.shtml),,3:26,N,"53,528",1.34,++,
131,2018/08/26,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808260.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,7,3,,70-61,3,2.5,Ryu (https://www.baseball-reference.com/players/r/ryuhy01.shtml),Erlin (https://www.baseball-reference.com/players/e/erlinro01.shtml),,3:07,D,"43,252",1.52,+++,
132,2018/08/28,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201808280.shtml),LAD,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,8,4,,71-61,3,1,Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),Jurado (https://www.baseball-reference.com/players/j/juradar01.shtml),,3:19,N,"30,123",1.71,++++,
133,2018/08/29,boxscore (https://www.baseball-reference.com/boxes/TEX/TEX201808290.shtml),LAD,@,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,3,1,,72-61,3,1,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Minor (https://www.baseball-reference.com/players/m/minormi01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),2:49,N,"29,181",1.96,+++++,
134,2018/08/30,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201808300.shtml),LAD,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,1,3,,72-62,3,2,Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:14,N,"45,150",2.74,-,
